c-value	ngram	nc-value
4172.9703425229745	российский_a федерация_s	3338.6956935375997
1132.8056680161944	сельский_a хозяйство_s	906.5004998499778
1004.7914798206277	исполнительный_a власть_s	804.0276449177629
824.6895238095237	федеральный_a закон_s	659.9217974014464
775.7740585774059	международный_a отношение_s	620.7719886366007
629.1438547486033	русский_a язык_s	503.51876165420555
615.7414448669201	административный_a правонарушение_s	492.7605204664839
614.9313835770529	ценный_a бумага_s	492.145793690046
593.8425531914894	государственный_a управление_s	475.2996767616772
570.4889589905363	федеральный_a орган_s	456.47998961405307
548.6350364963504	государственный_a власть_s	439.07944827318533
545.5654596100278	должностной_a лицо_s	436.6188903422817
498.13764044943815	правовой_a акт_s	398.65935352494324
460.14615384615377	государственный_a орган_s	368.29922062871213
392.5932835820896	юридический_a лицо_s	314.25621543330215
386.274678111588	местный_a самоуправление_s	309.16147285373256
362.70015948963317	экономический_a теория_s	290.3449952110707
353.1962025316456	политический_a наука_s	282.72993200426856
307.66521739130434	федеральный_a служба_s	246.22017657173407
296.5128205128205	административный_a право_s	237.37039820708816
290.311320754717	внутренний_a дело_s	232.35024193666382
269.67741935483866	военный_a служба_s	215.8604023056279
266.04597701149424	государственный_a регистрация_s	212.93054476417493
261.0935251798561	заработный_a плата_s	209.02680862289233
259.1573033707865	общественный_a объединение_s	207.46079340007444
255.11111111111111	правовой_a регулирование_s	204.24761271740337
247.43382352941174	экономический_a рост_s	198.0914257228315
241.81372549019608	экономический_a развитие_s	193.60017724603966
239.84415584415584	политический_a система_s	192.05753360409395
237.43529411764703	внешний_a политика_s	190.06749972305306
235.14814814814812	некоммерческий_a организация_s	188.25273808205012
233.48	сельскохозяйственный_a продукция_s	186.9080943835161
230.33689839572196	рыночный_a экономика_s	184.42372277108075
223.26168224299062	окружающий_a среда_s	178.74465098991703
217.0923076923077	политический_a процесс_s	173.83239273632097
216.5192307692308	государственный_a служба_s	173.34714489011603
210.67058823529408	государственный_a университет_s	168.594274952919
209.09322033898303	земельный_a участок_s	167.40611498836824
208.7317073170732	сельскохозяйственный_a производство_s	167.11772433377377
206.7591623036649	федеральный_a агентство_s	165.48784385644694
200.6694915254237	английский_a язык_s	160.66688822421622
197.93162393162396	международный_a право_s	158.47699295276567
197.69831223628688	экономический_a система_s	158.31655385461053
197.21180555555557	литературный_a язык_s	157.91972693032017
195.85185185185185	народный_a хозяйство_s	156.80048004135742
193.42635658914728	рабочий_a сила_s	154.8835024641837
187.78640776699032	общественный_a отношение_s	150.35282179351913
186.09141274238223	данный_a случай_s	148.97152390167136
183.38235294117646	международный_a договор_s	146.80549462722942
182.4852071005917	массовый_a информация_s	146.07774139776595
182.13888888888889	денежный_a средство_s	145.82523540489643
180.9017857142857	государственный_a политика_s	144.8350654386048
180.43529411764703	вооруженный_a сила_s	144.45562423839593
174.2093023255814	иностранный_a гражданин_s	139.4520768444022
166.75757575757575	экономический_a эффективность_s	133.49102792632203
164.1578947368421	иностранный_a государство_s	131.43645204736666
163.2929292929293	грамматический_a значение_s	130.75573481575475
162.76861167002008	правовой_a система_s	130.34875440746836
160.32835820895522	научно-технический_a прогресс_s	128.35901978971876
159.19047619047618	общественный_a мнение_s	127.48405260409247
158.7735849056604	индоевропейский_a язык_s	127.15756295056134
155.18556701030928	административный_a ответственность_s	124.25305092740109
154.31944444444446	природный_a ресурс_s	123.56730918356045
152.5263157894737	физический_a лицо_s	122.12090861917174
151.71774193548387	государственный_a регулирование_s	121.48226932106905
150.79012345679013	второй_a половина_s	120.68850731755352
147.8068181818182	международный_a организация_s	118.34582011541134
147.5	мировой_a война_s	118.0608840146228
145.73809523809524	денежный_a масса_s	116.69919448005191
145.1086956521739	государственный_a язык_s	116.20123590580914
145.04347826086956	политический_a партия_s	116.16346323348795
144.16666666666666	транспортный_a средство_s	115.42953362135815
139.31666666666666	политический_a жизнь_s	111.57767143015398
136.83636363636364	рыночный_a отношение_s	109.5738876300392
136.5142857142857	удельный_a вес_s	109.30368513507098
136.36170212765956	национальный_a доход_s	109.19816861472319
135.2089552238806	хозяйственный_a деятельность_s	108.29848133873669
133.03968253968253	высокий_a уровень_s	106.50155881561665
132.69101123595505	речевой_a деятельность_s	106.26850634115132
127.3872180451128	родной_a язык_s	102.02110710475093
126.38888888888887	избирательный_a кампания_s	101.21878808020382
125.875	политический_a культура_s	100.81456740888446
125.04255319148935	нормативный_a акт_s	100.13976981584796
124.21014492753623	самый_a дело_s	99.4466580933528
123.5	частный_a собственность_s	98.91403567076549
123.31944444444444	производительный_a сила_s	98.74440013293454
122.08490566037734	государственный_a граница_s	97.72364625201962
121.75394321766564	языковой_a система_s	97.51034411661618
120.16666666666669	национальный_a интерес_s	96.2533067464274
120.23287671232876	конституционный_a суд_s	96.24146919970681
120.16666666666669	федеральный_a бюджет_s	96.22290905062592
118.48076923076924	центральный_a банк_s	94.88972228613306
117.68	целый_a ряд_s	94.20736545917802
117.30290456431536	настоящий_a время_s	93.91809633340642
116.70449172576832	данный_a язык_s	93.45766671616357
116.37572254335258	составной_a часть_s	93.17626209361639
116.09523809523809	установленный_a порядок_s	92.94691164601433
116.01666666666668	наш_a страна_s	92.908580923895
115.05154639175258	важный_a роль_s	92.09990555252914
115.0	основной_a средство_s	92.09205716184779
114.875	европейский_a союз_s	92.00278054724716
