c-value	ngram	nc-value
994.0026917900404	в_pr сфера_s	795.3705421457522
961.6807297605474	в_pr область_s	769.4887830161347
895.0519230769231	в_pr рамка_s	716.256656902803
844.5775749674054	в_pr целое_s	675.8622216684835
827.1542553191489	в_pr результат_s	661.9285299728388
798.1688009313153	на_pr основа_s	638.7347496948462
742.3719346049046	в_pr случай_s	594.0509473120262
629.8542274052477	в_pr процесс_s	504.04189110036435
622.2793733681463	в_pr россия_s	498.0022681989232
551.7573839662447	в_pr условие_s	441.5625892006455
541.3137829912024	в_pr страна_s	433.2107967866882
499.6584659913169	в_pr язык_s	399.8692903773368
480.1143695014663	в_pr сила_s	384.23700453479745
426.32835820895525	в_pr зависимость_s	341.153704434413
412.9472990777338	с_pr точка_s	330.44850140140613
378.7232704402516	в_pr цель_s	303.0958610769163
377.7119341563786	с_pr учет_s	302.3125176541513
372.58690744921	в_pr себя_spro	298.1288193541453
369.2895622895623	на_pr рынок_s	295.53946776357645
363.3823529411765	в_pr период_s	290.82324026384754
358.97008547008545	на_pr территория_s	287.2753488352809
354.8175438596491	в_pr состав_s	283.9683046325491
351.37021276595743	в_pr конец_s	281.21116738311116
331.3759689922481	в_pr система_s	265.2164676507473
329.83285302593663	в_pr начало_s	263.9747633003677
318.32758620689657	по_pr дело_s	254.71332614071332
314.22526315789474	в_pr основа_s	251.48485924488642
303.93392070484583	в_pr общество_s	243.2686500249487
296.3914285714285	в_pr форма_s	237.22105780580478
292.09459459459464	с_pr цель_s	233.7770905030668
278.1141975308642	на_pr основание_s	222.58829391279875
269.93577981651384	в_pr предел_s	216.04273008653632
249.6411889596603	в_pr слово_s	199.7935720748347
247.0185758513932	в_pr ряд_s	197.69920056307754
245.9449541284404	за_pr предел_s	196.8160490008686
245.72395833333331	в_pr экономика_s	196.68297457353057
241.01136363636363	по_pr мнение_s	192.89354397724517
238.75935828877002	во_pr многое_s	191.10164137270897
236.1208053691275	в_pr развитие_s	188.978768961807
234.43617021276597	в_pr мир_s	187.64127993284518
221.69565217391303	по_pr суть_s	177.45599623181377
221.6903225806452	в_pr сша_s	177.44728595682759
217.48702594810382	между_pr себя_spro	174.0512910632773
199.49494949494948	на_pr уровень_s	159.68975860962277
195.1471698113208	в_pr история_s	156.1859709529454
192.61742424242425	в_pr работа_s	154.1730080332797
186.36690647482013	по_pr вопрос_s	149.15894679841864
175.33962264150944	в_pr польза_s	140.33386967113464
170.57651245551602	с_pr друг_s	136.4991435079491
167.84699453551912	на_pr протяжение_s	134.34725364442306
159.34817813765181	в_pr большинство_s	127.5402936621952
157.47619047619048	под_pr влияние_s	126.05149971703453
157.12087912087912	в_pr порядок_s	125.74763708278141
156.2422907488987	в_pr состояние_s	125.03094150040445
155.48295454545453	в_pr структура_s	124.46496336148287
153.1509433962264	в_pr европа_s	122.59823874964343
152.61349693251537	на_pr себя_spro	122.13089779663888
151.08	с_pr использование_s	120.93173385075595
150.47222222222226	на_pr практика_s	120.46166491497564
150.1	в_pr политика_s	120.15479990298326
149.96341463414637	на_pr земля_s	120.02633846614967
149.56164383561642	в_pr статья_s	119.715949396248
148.7810650887574	за_pr себя_spro	119.0582743363467
148.04166666666666	в_pr производство_s	118.49700865065891
147.33928571428572	в_pr государство_s	117.95601099523002
142.46753246753246	в_pr суд_s	114.02903446299032
139.75	по_pr себя_spro	111.82719702482012
137.30434782608697	на_pr производство_s	109.88623030226339
136.03333333333333	на_pr база_s	108.8966319023365
135.73417721518987	по_pr существо_s	108.65827717517558
133.60352422907488	во_pr время_s	106.94858056039631
133.37254901960785	в_pr отношение_s	106.75560247868248
132.7957746478873	со_pr день_s	106.2612457996422
127.78494623655914	в_pr середина_s	102.28379012046246
127.53103448275864	при_pr наличие_s	102.09079896626999
127.3148148148148	в_pr соответствие_s	101.90323838269508
121.17582417582419	в_pr германия_s	97.0096867478871
119.62962962962965	к_pr конец_s	95.76631183694003
118.1574074074074	от_pr друг_s	94.5579737875154
117.54166666666669	к_pr пример_s	94.09586061929019
115.72413793103449	в_pr принцип_s	92.6427916286824
111.98850574712644	в_pr жизнь_s	89.64937036696301
112.0	о_pr язык_s	89.63592853100494
110.75641025641028	в_pr текст_s	88.66600620658348
