c-value	ngram	nc-value
180.70588235294116	речь_s идти_v	144.60677352051627
151.71734892787526	язык_s быть_v	121.4772060600896
102.64661654135338	язык_s являться_v	82.18729598260154
88.75375375375376	язык_s мочь_v	71.07256582950836
66.375	страна_s быть_v	53.14888644487215
65.85	что_s касаться_v	52.70078636238658
63.755102040816325	значение_s иметь_v	51.0385056084573
59.70142180094787	слово_s мочь_v	47.80128041573768
57.762626262626256	язык_s существовать_v	46.26421154075814
57.0	государство_s быть_v	45.653780588397034
53.61904761904761	внимание_s уделяться_v	42.91008549694279
46.964285714285715	роль_s играть_v	37.594634510389255
46.25	хозяйство_s являться_v	37.01809183392906
46.08333333333334	время_s быть_v	36.90224544038127
44.88372093023256	система_s быть_v	35.940575864340026
43.63636363636364	россия_s быть_v	34.94527457694904
42.020408163265316	место_s занимать_v	33.63485828755479
39.51351351351352	человек_s мочь_v	31.64171540250727
39.0625	государство_s мочь_v	31.29003299422601
35.065217391304344	многое_s зависеть_v	28.0589927197523
34.87603305785124	язык_s иметь_v	27.93816491204948
33.5	право_s являться_v	26.816882045642014
29.57142857142857	власть_s мочь_v	23.681063671000434
29.57142857142857	организация_s мочь_v	23.673639970148084
29.431034482758623	значение_s мочь_v	23.57243275530231
28.67441860465116	язык_s представлять_v	22.964665485865552
28.48717948717949	информация_s мочь_v	22.80992505798665
27.859154929577464	система_s являться_v	22.32257277511647
27.714285714285715	производство_s являться_v	22.189355434227586
25.740740740740737	деятельность_s являться_v	20.622672328638785
25.58461538461539	язык_s относиться_v	20.48869863158563
24.92	статья_s посвятить_partcp	19.95370690129228
24.375	война_s быть_v	19.519081660709375
24.16666666666667	ссср_s быть_v	19.354449637980025
24.0	политика_s являться_v	19.23365411053066
23.823529411764714	право_s быть_v	19.07818014200457
23.810126582278482	система_s мочь_v	19.07658628094514
23.77358490566038	интерес_s представлять_v	19.032340566815904
22.89333333333333	слово_s быть_v	18.345131335349645
22.87096774193548	слово_s иметь_v	18.329438477298726
22.882352941176467	государство_s являться_v	18.328648368888384
22.5	пример_s мочь_v	18.015562276601596
22.4	сша_s быть_v	17.943865823480888
22.28	производство_s быть_v	17.844951333516637
22.0	период_s быть_v	17.622436073687105
21.9375	человек_s быть_v	17.578649986252408
21.4	власть_s быть_v	17.143480890844103
21.0	хозяйство_s быть_v	16.81440747869123
20.714285714285715	земля_s быть_v	16.585616088613065
20.70967741935484	что_s быть_v	16.585008913762675
20.454545454545453	предприятие_s быть_v	16.390251705951457
20.0	распространение_s получить_v	16.01215287324718
19.967741935483872	лицо_s мочь_v	15.99118557478248
19.6	отношение_s являться_v	15.706615342315096
19.57894736842105	экономика_s быть_v	15.683724295616686
19.4375	цель_s быть_v	15.569081660709376
19.41509433962264	случай_s мочь_v	15.555831314425637
18.90909090909091	средство_s являться_v	15.139920513910067
18.5	развитие_s получить_v	14.81198790211713
17.875	народ_s быть_v	14.31913665108606
17.75	результат_s быть_v	14.219081660709376
17.75	власть_s являться_v	14.215782238108332
17.75	влияние_s оказывать_v	14.210668133076712
17.470588235294116	наука_s являться_v	13.997751864012033
17.428571428571427	положение_s быть_v	13.967162889351506
17.333333333333332	общество_s быть_v	13.88327376042526
17.0	политика_s быть_v	13.63150948583998
16.736842105263158	гражданин_s мочь_v	13.406850643242697
16.727272727272727	автор_s приходить_v	13.38946184417727
16.681818181818183	значение_s являться_v	13.360246956782564
16.22222222222222	язык_s выступать_v	12.991305410442061
16.0	роль_s сыграть_v	12.809568325543031
15.930232558139535	язык_s обладать_v	12.762827784207532
15.823529411764708	экономика_s являться_v	12.672186190945999
15.75	закон_s быть_v	12.624415727247733
15.74074074074074	основание_s полагать_v	12.596221957453743
15.63157894736842	работа_s быть_v	12.525334645384426
15.375	рынок_s быть_v	12.31132801759692
15.2	значение_s приобретать_v	12.174462469067914
14.818181818181818	форма_s мочь_v	11.877146499362613
14.805555555555555	время_s мочь_v	11.868035316041915
14.8	ситуация_s мочь_v	11.867825130602146
14.79591836734694	предложение_s мочь_v	11.853891691402985
14.75	язык_s различаться_v	11.817816882045642
14.625	государство_s обладать_v	11.713967555677758
14.5	отношение_s быть_v	11.620016497113006
14.5	достижение_s поставить_partcp	11.60373934561452
14.333333333333336	труд_s являться_v	11.477444780496748
14.323529411764708	основание_s считать_v	11.463167769169809
14.142857142857142	кто_s быть_v	11.319124867433914
14.0	решение_s быть_v	11.22463568875447
14.0	статья_s рассматриваться_v	11.214462469067914
13.967741935483874	проблема_s являться_v	11.195639795293891
13.90909090909091	практика_s показывать_v	11.131122053640615
13.8125	исследование_s являться_v	11.064902392081386
13.75	группа_s мочь_v	11.014077536431124
13.625	развитие_s являться_v	10.914517459444598
13.588235294117649	страна_s являться_v	10.895553866308692
13.613636363636365	анализ_s показывать_v	10.89371360011998
13.5	процесс_s быть_v	10.819301622216113
13.5	подход_s быть_v	10.817321968655486
13.454545454545455	исключение_s составлять_v	10.775349313870075
13.285714285714285	общество_s являться_v	10.652712203935739
13.0	правительство_s быть_v	10.409733296673082
12.9375	труд_s быть_v	10.361492988726974
12.903225806451614	теория_s быть_v	10.335998297072207
12.875	что_s свидетельствовать_v	10.303409403354413
12.833333333333336	проект_s быть_v	10.279314453304007
12.825	изменение_s происходить_v	10.278696728072587
12.73913043478261	отношение_s мочь_v	10.211980729459302
12.666666666666664	суд_s мочь_v	10.144441389423518
12.647058823529413	слово_s относиться_v	10.144042439631889
12.555555555555555	политика_s мочь_v	10.064405951180765
12.571428571428573	степень_s зависеть_v	10.061817039161005
12.5	население_s быть_v	10.009403354412978
12.142857142857142	мир_s существовать_v	9.728473231470208
12.125	роль_s принадлежать_v	9.714352488314546
12.0	государство_s стать_v	9.612482815507288
12.0	политика_s стать_v	9.607973604619193
12.0	исследование_s быть_v	9.607863623865825
11.90909090909091	развитие_s быть_v	9.542835003874323
11.833333333333336	дело_s быть_v	9.475960040326278
11.714285714285715	исследование_s мочь_v	9.391500058918261
11.705882352941178	ситуация_s быть_v	9.38219282213848
11.689655172413795	человек_s говорить_v	9.361402444227435
11.666666666666664	германия_s быть_v	9.347905783154614
11.615384615384615	случай_s быть_v	9.312269199044014
11.6	гражданин_s иметь_v	9.287588671982402
11.5	страна_s мочь_v	9.217211987902118
11.45	решение_s поставить_partcp	9.164784162771515
11.375	страна_s стать_v	9.11941160296948
11.333333333333336	собственность_s быть_v	9.072880579231969
11.25	экономика_s мочь_v	9.018036843552379
11.0	действие_s мочь_v	8.820236458619743
11.0	деятельность_s мочь_v	8.818531756942535
11.0	общество_s мочь_v	8.814682430574651
11.0	группа_s быть_v	8.814572449821283
11.0	автор_s предлагать_v	8.810723123453396
11.0	информация_s являться_v	8.808303546879296
11.0	доход_s быть_v	8.808083585372561
10.964912280701752	язык_s следовать_v	8.787052178149525
10.9	мир_s быть_v	8.734572449821282
10.833333333333336	государство_s иметь_v	8.681184126111267
10.782608695652176	кто_s являться_v	8.631915936450254
10.72	страна_s существовать_v	8.59310200714875
10.708333333333334	условие_s мочь_v	8.585363394739256
10.619047619047619	теория_s являться_v	8.507390968485277
10.5	партия_s быть_v	8.416607093758593
10.5	россия_s являться_v	8.414902392081386
10.5	мир_s мочь_v	8.412042892493814
10.285714285714286	орган_s мочь_v	8.236325071683885
10.263157894736842	вопрос_s быть_v	8.229003082355325
10.166666666666666	идея_s быть_v	8.144551370176885
10.0	страна_s иметь_v	8.015067363211438
10.0	москва_s быть_v	8.014462469067913
10.0	организация_s быть_v	8.012207863623866
10.0	направление_s быть_v	8.009678306296399
10.0	земля_s мочь_v	8.00808358537256
9.923076923076923	тип_s являться_v	7.962822275332586
9.9375	мера_s мочь_v	7.961547979103657
9.892857142857142	язык_s позволять_v	7.921599434384698
9.823529411764708	процесс_s являться_v	7.882909314399394
9.833333333333334	человек_s становиться_v	7.874640271285859
9.714285714285717	сторона_s быть_v	7.782591617895442
9.611111111111109	подход_s позволять_v	7.699941954602387
9.578947368421053	закон_s мочь_v	7.6727262202798725
9.555555555555557	дело_s являться_v	7.651978126050165
9.5	что_s отличаться_v	7.604509210888095
9.454545454545457	степень_s быть_v	7.570950083735349
9.4	процесс_s мочь_v	7.5358922188617
9.31578947368421	возможность_s получить_v	7.455051155521468
9.2	положение_s мочь_v	7.378366785812482
9.142857142857142	рф_s быть_v	7.321599434384697
9.0	страна_s становиться_v	7.215122353588122
9.0	фактор_s являться_v	7.213692603794336
9.0	группа_s являться_v	7.211877921363762
9.0	теория_s рассматривать_v	7.210943084960133
9.0	человек_s получать_v	7.208303546879296
9.0	государство_s становиться_v	7.20659884520209
9.0	договор_s предусматривать_v	7.20566400879846
9.0	автор_s анализировать_v	7.203684355237834
8.944444444444445	анализ_s быть_v	7.1693581401032604
8.882352941176471	человек_s являться_v	7.117265360914781
8.714285714285714	культура_s быть_v	6.979457166424448
8.703703703703704	язык_s рассматриваться_v	6.972971211519466
8.681818181818182	человек_s иметь_v	6.955902717024521
8.666666666666668	статья_s анализироваться_v	6.93987718815874
8.65625	основа_s быть_v	6.9357781138300805
8.625	предложение_s иметь_v	6.913417651910916
8.571428571428571	цель_s являться_v	6.866381240425783
8.555555555555555	население_s мочь_v	6.853957779610791
8.538461538461537	использование_s иметься_partcp	6.834948499397219
8.384963581198713	речь_s идти_v о_pr	6.746189176754406
8.375	система_s представлять_v	6.712867748144075
8.375	литература_s существовать_v	6.707808633489139
8.333333333333334	акцент_s делаться_v	6.67101090642471
8.0	гражданин_s быть_v	6.41077811383008
8.0	порядок_s являться_v	6.410118229309871
8.0	действие_s являться_v	6.40808358537256
8.0	автор_s рассматривать_v	6.4070937585922465
8.0	основа_s лежать_v	6.406928787462195
8.0	предпочтение_s отдаваться_v	6.406433874072038
8.0	государство_s обеспечивать_v	6.402969480340941
7.925925925925926	язык_s становиться_v	6.357402824876018
7.909090909090909	время_s являться_v	6.341515234833905
7.909090909090909	уровень_s быть_v	6.338655735246332
7.909090909090909	метод_s позволять_v	6.3382158122328605
7.875	изменение_s мочь_v	6.3117129502337095
7.833333333333332	субъект_s мочь_v	6.283878654568783
7.833333333333332	смысл_s быть_v	6.279314453304004
7.833333333333332	метод_s быть_v	6.279149482173952
7.833333333333334	ресурс_s мочь_v	6.27788470351022
7.833333333333332	сталь_s возникать_v	6.275850059572907
7.809523809523809	функция_s выполнять_v	6.258727103709232
7.8	право_s осуществлять_v	6.245334066538356
7.769230769230768	изменение_s быть_v	6.227207546371692
7.777777777777778	речь_s пойти_v	6.224586808419637
7.7142857142857135	интерес_s являться_v	6.182701598648808
7.666666666666666	документ_s быть_v	6.144826322060306
7.6538461538461515	смысл_s мочь_v	6.1378693344049395
7.615384615384616	принцип_s быть_v	6.102095979357459
7.571428571428571	проблема_s быть_v	6.06742605758278
7.5	многое_s обусловить_partcp	6.002584547704152
7.333333333333334	внимание_s уделить_partcp	5.871175877554761
7.333333333333332	государство_s представлять_v	5.869856108514343
7.25	время_s стать_v	5.803574374484466
7.2	опыт_s показывать_v	5.765004124278252
7.166666666666668	план_s выдвигаться_v	5.738612409495006
7.0	вопрос_s мочь_v	5.623810833104208
7.0	форма_s являться_v	5.616332141875173
7.0	решение_s приниматься_v	5.615232334341491
7.0	действие_s быть_v	5.613692603794337
7.0	статья_s быть_v	5.613032719274128
7.0	ресурс_s быть_v	5.612482815507287
7.0	государство_s осуществлять_v	5.609788287049767
7.0	управление_s мочь_v	5.609403354412978
7.0	право_s считаться_v	5.606873797085511
7.0	интеграция_s являться_v	5.605938960681881
7.0	возможность_s использовать_v	5.605169095408304
6.9523809523809526	тип_s мочь_v	5.5802715477172455
6.9375	система_s иметь_v	5.562647786637339
6.906890595608518	сельский_a хозяйство_s являться_v	5.54822350205734
6.909090909090909	время_s происходить_v	5.536016197165496
6.906890595608518	россия_s являться_v федеральный_a орган_s исполнительный_a	5.528316985697702
6.862068965517241	время_s оставаться_v	5.503072824324709
6.851851851851853	модель_s мочь_v	5.491159787777881
6.833333333333332	развитие_s мочь_v	5.473925396388965
6.833333333333332	язык_s стать_v	5.47211071395839
6.6923076923076925	право_s представлять_v	5.356430701550306
